
PRODUCT_TYPES
Book
Film
Music
App

PRODUCTS
Wright,37.07,4.6,3
Inyart,87.85,2.3,4
Flake,73.05,2.5,1
Hayes,41.57,3.7,1
Virgil,72.82,2.7,4
Ontiveros,72.27,2.6,4
Bostic,82.05,2.6,3
Lafever,90.04,4.3,1
Kenyon,4.08,4.6,3
Rutledge,23.53,1.4,2
Davis,65.0,3.1,1
Caswell,35.04,1.6,4
Mcdonald,2.97,1.8,1
Burman,58.65,1.1,4
Weber,14.96,2.5,4
Burrowes,6.01,3.3,2
Millspaugh,86.63,5.0,1
Meeks,34.91,3.4,1
Spore,19.56,3.2,1
Thomas,91.76,4.8,3
Butts,8.06,2.4,4
Correa,77.17,3.3,3
Ott,81.75,2.9,3
Washington,13.62,3.8,2
Graham,1.81,2.2,3
Meyerson,23.0,4.9,2
Harry,28.44,2.5,2
Meza,44.01,1.5,1
Richmond,22.11,3.6,4
Callaway,44.56,1.3,1
Moon,60.6,1.4,3
Landry,70.32,1.9,2
Collins,68.16,2.0,3
Wall,42.67,4.7,1
Felix,86.26,3.7,1
Mallet,11.76,4.2,2
Alto,66.27,1.1,4
Sweatt,4.57,4.9,1
Clark,41.53,4.7,4
Dodge,88.96,4.1,1
Garcia,24.42,3.3,1
Henry,37.88,1.8,3
Black,71.27,2.9,3
Maloney,78.1,1.9,4
Gurwell,9.17,2.1,2
Vazquez,1.88,1.5,4
Michelsen,15.13,1.9,3
Smith,75.34,3.4,3
Damboise,44.49,2.2,4
Bennett,27.66,1.4,4
Rivera,40.2,3.8,2
Duvall,19.37,3.2,1
White,10.0,3.7,4
Gomez,14.58,4.9,1
Cowgill,54.39,1.2,4
Miller,52.79,3.7,4
Lamb,52.59,3.5,1
Howard,15.57,2.1,1
Rosado,23.21,4.7,2
Austin,63.66,2.6,2
Moseley,19.68,4.7,3
Carr,91.14,3.4,1
Whetzel,27.54,4.4,2
Farris,44.64,3.2,3
Johnson,19.94,2.5,3
Glover,32.57,4.7,2
Llewellyn,16.71,4.4,4
Arcos,34.34,3.5,3
Large,87.24,1.8,1
Patel,13.3,1.2,1
East,89.45,3.8,3
Patter,8.42,2.5,4
Gilbert,66.26,1.7,4
Britt,57.47,4.2,4
Wingo,18.88,1.4,4
Mercer,54.27,2.5,3
Zenon,29.38,4.0,4
Mendes,22.75,2.7,4
Thomas,61.54,3.9,1
Ricketts,67.2,3.3,1
Richardson,11.27,3.3,3
Stuzman,0.9,3.8,3
Grider,72.94,2.5,3
Armstrong,80.85,4.0,2
Breau,37.13,2.1,2
Dorman,2.93,2.2,4
Iannotti,30.88,4.8,4
Gallagher,74.99,2.8,4
Johnson,22.76,3.2,3
Sands,66.73,2.8,4
Hobden,49.7,4.4,2
Shaffer,48.47,3.6,1
Wilford,75.66,4.7,4
Mahnken,21.88,1.2,4
Handley,97.32,2.5,1
Benberry,88.04,3.2,3
Taylor,40.86,3.7,1
Anna,42.09,2.6,1
Holmes,36.98,2.2,3
Mckeever,15.3,3.8,1
Mclaughlin,80.19,3.7,1
Glowacky,34.26,2.6,4
Lehnertz,62.67,1.4,1
Kelly,94.47,4.6,2
Heil,98.99,4.0,3
Szczepanek,72.16,4.9,1
Bennett,92.76,1.3,1
Burchill,67.34,1.9,1
Jenkins,2.02,2.9,3
Kelly,6.97,4.8,1
Childers,29.44,1.6,4
Carpenter,98.61,1.4,1
Doherty,24.34,1.1,3
Parson,25.13,2.7,3
Hardesty,44.61,3.0,1
Holt,97.38,1.3,4
Blockmon,86.58,3.0,4
Rolf,18.55,1.7,3
Fantasia,91.19,3.2,2
Knight,28.85,4.0,1
Mccarty,96.15,1.8,3
Lacey,43.1,1.9,4
Schleck,86.96,3.1,3
Helbig,23.33,4.4,4
Robins,64.89,1.1,4
Flannery,31.54,4.2,1
Catoe,27.98,4.1,1
Daugherty,1.49,3.5,4
Nix,4.53,2.6,2
Gendreau,92.32,1.2,2
Kyle,39.13,4.4,2
Brookshire,74.83,2.1,3
Limmel,11.11,4.5,3
Dudenhoeffer,24.13,4.5,4
Cody,1.96,3.1,2
Jensen,37.57,3.9,2
Wright,55.69,2.7,1
